track_id,artist,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5uDNFpDhvw65Jwc7F4UJJg,Duke Boara,Evergreen,0.631,0.811,8,-7.931,0,0.0326,0.899,0.0672,0.147,126.98,253500,4
0dCoAtdih1oipgbx4jFqcg,Interplanetary Criminal,Untitled A,0.836,0.831,8,-6.624,0,0.078,0.112,0.12,0.545,136.004,348315,4
1ueaBqr5S3NxQhj1gKgmwj,Shygirl,Nike,0.926,0.308,6,-10.294,0,0.323,1.12e-05,0.0648,0.63,101.872,127625,4
0eK9owI3ww9aY4KT7pFOt6,Supershy,Change,0.823,0.588,8,-10.026,1,0.0739,0.259,0.06,0.561,120.018,290019,4
1uPRLmmA2YGNItLRp3BgFO,Biig Piig,Kerosene,0.681,0.559,8,-7.043,1,0.293,0.00922,0.0907,0.198,119.98,149840,4
7xLFFvpk9ntQRNzQnflX5X,DJ Q,Heavy Like Lead,0.832,0.782,0,-7.774,1,0.0527,0.768,0.492,0.798,135.0,201500,4
5aMmekZWQmnfiaCZXDqENv,Romare,Seventh Seal,0.717,0.624,1,-10.191,1,0.0382,0.873,0.0832,0.0953,120.016,339442,4
3Z9qdV9SOWHuTxNbyOwXIa,BURNS,Burning In My Arms - Edit,0.72,0.96,0,-3.23,1,0.0349,0.14,0.11,0.666,124.988,211200,4
7MQE5Gx0g0DkHvH2PwgOgs,Chaos In The CBD,Intimate Fantasy,0.802,0.856,7,-8.764,0,0.0575,0.878,0.666,0.719,127.067,493000,4
2gNYF7hcGCugn9lH5fjnZw,Hudson Mohawke,Intentions,0.419,0.74,7,-5.601,1,0.0876,0.00135,0.123,0.254,149.699,258480,4
4HjFcknvaFWQNP9rJQngIz,Flaurese,Gaze At Me,0.639,0.658,9,-8.633,0,0.0353,0.829,0.123,0.29,121.998,288019,4
6ExxJ9telaOPy8U2onom9F,Nils Hoffmann,About You,0.55,0.629,5,-9.762,0,0.0447,0.0114,0.0976,0.202,111.009,232918,4
